genes	names	chr	brionmaxpos	briondeltaAF	brionLOD	repnum	albertmaxpos	albertdeltaAF	albertLOD	correspond	channel
YLR286C	CTS1	10	377400	0.0467442587558858	3.605	1	377537	0	0	unique_brion	gfp
YJR048W	CYC1	5	397450	-0.107819666662278	7.1725	2	389100	-0.1332261122	8.74	together	gfp
YJR048W	CYC1	11	189300	-0.0973220142793763	7.7675	2	238100	-0.1461117585	7.76	together	gfp
YJR048W	CYC1	12	661850	-0.929638702983122	308.795	2	655600	-0.8410682667	197.09	together	gfp
YJR048W	CYC1	13	369050	0.13447999623811	10.4125	2	411100	-0.2671024028	28.95	oposite	gfp
YJR048W	CYC1	15	139800	-0.141655979245521	12.26	2	139908	-0.00920261791992825	0	unique_brion	gfp
YJR048W	CYC1	8	101020	0.0559152011659051	1.675	0	100800	0.1520733087	9.78	unique_albert	gfp
YJR048W	CYC1	8	409115	-0.0264897322577678	0.875	0	409100	-0.0965647879	5.11	unique_albert	gfp
YJR048W	CYC1	14	463554	0.0562430367518312	1.635	0	463200	-0.2805611152	40.58	unique_albert	gfp
YDL022W	GPD1	2	416816.666666667	-0.123835173364988	9.95611111111111	6	454300	-0.1795858233	13.67	together	gfp
YDL022W	GPD1	4	1109800	0.0633070662302374	3.2775	2	1109779	0.00348558506180626	0	unique_brion	gfp
YDL022W	GPD1	5	382650	0.146497212048185	14.1766666666667	6	382804	0.384092439910911	0	unique_brion	gfp
YDL022W	GPD1	7	161300	0.063719194752066	3.05055555555556	3	159711	0.0592422471925515	0	unique_brion	gfp
YDL022W	GPD1	8	362440	-0.0719673746634932	3.451	5	361903	-0.0808715415945939	0	unique_brion	gfp
YDL022W	GPD1	10	154016.666666667	-0.430413432051815	94.1813888888889	6	153500	-0.2301092373	22.11	together	gfp
YDL022W	GPD1	10	661066.666666667	0.13274523976617	10.8927777777778	6	661161	0.0660676668765868	0	unique_brion	gfp
YDL022W	GPD1	11	268500	-0.211428779577543	24.9427777777778	6	279400	-0.1814665187	12.09	together	gfp
YDL022W	GPD1	12	928500	0.0962856852678264	6.50555555555556	3	928625	0.0710791851486953	0	unique_brion	gfp
YDL022W	GPD1	13	253666.666666667	0.147029135687682	13.2241666666667	6	253667	0.0448904349010912	0	unique_brion	gfp
YDL022W	GPD1	14	524800	0.109683360473821	7.58777777777778	6	481600	0.1962016275	16.54	together	gfp
YDL022W	GPD1	15	157233.333333333	-0.0696536212535049	3.28444444444444	3	157219	-0.0757998031818582	0	unique_brion	gfp
YDL022W	GPD1	4	208160	-0.108453336915234	6.76733333333333	5	209792	-0.0758041571567167	0	unique_brion	gfp
YDL022W	GPD1	12	224633.333333333	-0.0642384661247763	3.79722222222222	3	166000	-0.1274864347	9.17	together	gfp
YDL022W	GPD1	12	689920	0.134269052878278	12.4776666666667	5	659300	0.249813958	27.24	together	gfp
YDL022W	GPD1	12	346500	-0.0734955662032177	3.58333333333333	1	347030	-0.0555193286143058	0	unique_brion	gfp
YDL022W	GPD1	1	32883	0.0311375066484855	0.881666666666667	0	32900	0.1406256189	7.67	unique_albert	gfp
YDL022W	GPD1	4	607474	-0.0513413054643587	1.39666666666667	0	607800	-0.1267843299	7.13	unique_albert	gfp
YDL022W	GPD1	5	504390	0.10410320542972	10.95	0	504300	0.5384041802	123.79	unique_albert	gfp
YDL022W	GPD1	13	129926	0.095218505068589	6.90833333333333	0	129700	0.1273627212	8.09	unique_albert	gfp
YDL022W	GPD1	15	585970	-0.0284085809897871	1.33	0	586100	0.1075499568	4.98	unique_albert	gfp
YKR080W	MTD1	7	391900	0.0920120552668315	5.335	1	392320	0.030088749218132	0	unique_brion	gfp
YKR080W	MTD1	8	176350	-0.141783112306394	13.145	2	167900	-0.2721764854	30.26	together	gfp
YKR080W	MTD1	10	181550	0.117909837302116	8.3375	2	251000	0.1118578801	5.27	together	gfp
YKR080W	MTD1	11	219000	-0.0721488762418634	3.435	1	219048	-0.0147632732563923	0	unique_brion	gfp
YKR080W	MTD1	13	136900	0.250960492636517	37.8925	2	103800	0.2505012817	30.31	together	gfp
YKR080W	MTD1	14	200700	-0.23095385535363	29.745	2	232800	-0.1408336052	10.48	together	gfp
YKR080W	MTD1	15	742300	0.0976650887309083	5.27	2	741454	0.0307493605311241	0	unique_brion	gfp
YKR080W	MTD1	7	530100	0.074370499333516	5.325	1	530312	0.0168659976111702	0	unique_brion	gfp
YKR080W	MTD1	13	885600	0.0748345550345995	3.41	1	885660	-0.0204247020957603	0	unique_brion	gfp
YKR080W	MTD1	2	259158	-0.0258096405235623	1.39	0	259100	0.0850007779	4.64	unique_albert	gfp
YKR080W	MTD1	2	456535	-0.0119004120873385	0.965	0	456600	0.1232047988	5.61	unique_albert	gfp
YKR080W	MTD1	4	1464119	-0.0354964117449009	1.58	0	1464100	-0.1913161229	16.57	unique_albert	gfp
YKR080W	MTD1	5	198538	0.0215666586834028	0.58	0	198400	-0.1246207251	6.02	unique_albert	gfp
YKR080W	MTD1	7	156252	0.0193742162813276	0.55	0	156500	-0.1099565735	5.79	unique_albert	gfp
YKR080W	MTD1	10	656567	-0.0265810372982268	0.745	0	656300	-0.2297054894	24.45	unique_albert	gfp
YKR080W	MTD1	14	597130	-0.0169027080145587	0.795	0	597100	-0.1175888899	6.46	unique_albert	gfp
YKR080W	MTD1	15	228074	0.00749265207767513	0.47	0	227800	0.1030333641	5.41	unique_albert	gfp
YKR080W	MTD1	15	900947	0.0266025220380798	1.16	0	902900	0.1089113214	4.6	unique_albert	gfp
YFL039C	NA	2	170300	-0.0862662249645874	4.24	1	170323	0	0	unique_brion	gfp
YFL039C	NA	5	211900	0.0748434389250101	3.39	1	211986	0	0	unique_brion	gfp
YFL039C	NA	7	203000	-0.0811579504720289	3.16	1	202963	0	0	unique_brion	gfp
YFL039C	NA	12	1055400	0.174571927291148	10.38	1	1055415	0	0	unique_brion	gfp
YFL039C	NA	13	74400	0.155394195829312	14.49	1	74436	0	0	unique_brion	gfp
YFL039C	NA	14	477700	-0.0993991656648512	5.1	1	478702	0	0	unique_brion	gfp
YFL039C	NA	15	183300	0.0899865743332606	3.61	1	182946	0	0	unique_brion	gfp
YGL055W	OLE1	1	43500	-0.285835835568403	32.6275	2	40100	-0.2148510141	24.37	together	gfp
YGL055W	OLE1	11	325400	-0.127433262863985	15.5	1	327672	-0.0399304458348818	0	unique_brion	gfp
YGL055W	OLE1	12	655100	-0.315607793428334	67.9725	2	655300	-0.4363188258	89.93	together	gfp
YGL055W	OLE1	13	62600	0.0904799334868153	4.8175	2	123900	0.1296590171	6.24	together	gfp
YGL055W	OLE1	13	389650	-0.0703543149411031	4.22	2	389516	-0.0245068259292786	0	unique_brion	gfp
YGL055W	OLE1	15	571950	-0.0874340043803269	5.8275	2	571946	0.0169018209789287	0	unique_brion	gfp
YGL055W	OLE1	10	700200	0.0650795235006076	3.49	1	699841	0.0325269081861828	0	unique_brion	gfp
YGL055W	OLE1	11	411000	-0.1676280133192	16.285	1	410994	-0.0295261484044138	0	unique_brion	gfp
YGL055W	OLE1	5	312465	-0.0089713078408977	0.46	0	312400	0.1131036669	7.53	unique_albert	gfp
YGL055W	OLE1	7	541808	-0.00433582191725064	0.425	0	541700	0.1145934478	6.56	unique_albert	gfp
YGL055W	OLE1	12	229358	-0.0275588247394615	0.765	0	230300	-0.1138535121	5.16	unique_albert	gfp
YGL055W	OLE1	14	480472	-0.00146380137568443	0.72	0	480300	0.1510810876	13.4	unique_albert	gfp
YOR293W	RPS10A	3	106400	0.0475440037369084	8.78	1	105429	0	0	unique_brion	gfp
YOR293W	RPS10A	5	58100	0.0172861452555053	5.2	1	58103	0	0	unique_brion	gfp
YOR293W	RPS10A	11	229900	-0.171844478397606	4.35	1	229803	0	0	unique_brion	gfp
YOR293W	RPS10A	13	88000	0.188021693948214	22.38	1	87907	0	0	unique_brion	gfp
YOR293W	RPS10A	14	217700	-0.0974573286027281	5.17	1	216648	0	0	unique_brion	gfp
YOR293W	RPS10A	15	138300	0.0771889576206052	5.18	1	138302	0	0	unique_brion	gfp
YOR293W	RPS10A	15	785000	0.0809527167672207	12.98	1	785051	0	0	unique_brion	gfp
YOR293W	RPS10A	16	453100	-0.116712460705829	3.04	1	453103	0	0	unique_brion	gfp
YGR192C	TDH3	1	155000	-0.202454440251549	14.49	1	154748	-0.105523792237936	0	unique_brion	gfp
YGR192C	TDH3	4	1521900	0.152106646398742	6.67	1	1521926	0.022728301337895	0	unique_brion	gfp
YGR192C	TDH3	5	383500	0.102921922480578	6.45	1	383539	0.0896685241835635	0	unique_brion	gfp
YGR192C	TDH3	7	361700	0.15805462592192	12.91	1	361550	0.102460317160115	0	unique_brion	gfp
YGR192C	TDH3	10	174800	-0.215490756877423	20.99	1	139900	-0.1326336849	8.31	together	gfp
YGR192C	TDH3	11	267600	-0.225095136468746	26.52	1	267200	-0.2499885203	22.12	together	gfp
YGR192C	TDH3	12	745000	0.112419622907072	7.01	1	744925	0.130494373743401	0	unique_brion	gfp
YGR192C	TDH3	13	105500	0.113165882147097	5.34	1	105409	0.0660822848797957	0	unique_brion	gfp
YGR192C	TDH3	13	404900	0.0959118253883678	4.5	1	405244	-0.0407770569657481	0	unique_brion	gfp
YGR192C	TDH3	14	475900	0.186433761035689	17.69	1	456200	0.1404794652	10.64	together	gfp
YGR192C	TDH3	15	12900	0.111572726337502	4.33	1	12876	0.10961083973282	0	unique_brion	gfp
YGR192C	TDH3	15	367600	-0.0752047712409131	3.51	1	367673	0.0589831755291004	0	unique_brion	gfp
YGR192C	TDH3	1	28844	0.0408793176002056	1.45	0	28200	-0.0914330794	5.53	unique_albert	gfp
YGR192C	TDH3	2	180607	-0.0176754737043942	0.54	0	180600	0.0870778534	4.91	unique_albert	gfp
YGR192C	TDH3	10	646496	0.00561677715802733	0.8	0	647400	-0.0995512627	5.04	unique_albert	gfp
YGR192C	TDH3	12	648649	0.104541901481688	4.34	0	648700	0.3571872128	52.1	unique_albert	gfp
YGR192C	TDH3	15	163253	-0.0133363944666739	0.46	0	163300	0.2762716915	35.1	unique_albert	gfp
YLL028W	TPO1	7	123000	-0.103415628941977	7.2625	2	130200	-0.1134347381	6.49	together	gfp
YLL028W	TPO1	7	495850	-0.159673359040145	14.355	2	475300	-0.3451670366	51.83	together	gfp
YLL028W	TPO1	12	682550	-0.232287098583001	31.3	2	682832	-0.0110958112660948	0	unique_brion	gfp
YLL028W	TPO1	14	442800	0.155122180470544	13.75	2	457000	0.1020355527	5.12	together	gfp
YLL028W	TPO1	15	146300	-0.820170154968355	291.7825	2	162300	-0.8613829258	191.31	together	gfp
YLL028W	TPO1	15	603300	0.103098650970983	8.57	1	612800	0.1320350799	8.35	together	gfp
YLL028W	TPO1	15	702200	0.0889108487137886	5.88	1	701451	0.0557275849558787	0	unique_brion	gfp
YLL028W	TPO1	2	175784	0.0122018668993533	0.5	0	175700	0.0870602188	5.1	unique_albert	gfp
YLL028W	TPO1	5	191306	-0.0655656807637079	1.905	0	191600	-0.1654215389	13.02	unique_albert	gfp
YLL028W	TPO1	10	160930	0.0406458465960321	1.695	0	160900	0.1507656193	10.83	unique_albert	gfp
YLL028W	TPO1	13	65230	-0.0375417192522457	1.595	0	65500	0.1376554067	10.95	unique_albert	gfp
YKL035W	UGP1	1	162000	-0.0852315061390689	3.565	2	160055	-0.00726258956108245	0	unique_brion	gfp
YKL035W	UGP1	4	76300	-0.0852305326731091	4.815	2	76253	-0.0293500821160059	0	unique_brion	gfp
YKL035W	UGP1	4	1040200	0.173377213391118	16.5511111111111	3	1040297	-0.0303332765004774	0	unique_brion	gfp
YKL035W	UGP1	7	355650	0.0831313939515499	3.71166666666667	2	355709	0.0589322600887729	0	unique_brion	gfp
YKL035W	UGP1	10	148566.666666667	-0.307309529860168	49.3077777777778	3	148289	-0.0533558659599357	0	unique_brion	gfp
YKL035W	UGP1	12	686366.666666667	0.241435943006726	30.6144444444444	3	632100	0.1652918756	14.93	together	gfp
YKL035W	UGP1	13	278733.333333333	0.087287073536748	5.50111111111111	3	278674	-0.000420208303249027	0	unique_brion	gfp
YKL035W	UGP1	14	484300	0.166145104324205	14.6144444444444	3	466900	0.2511974943	26.46	together	gfp
YKL035W	UGP1	15	162766.666666667	-0.213459249639876	23.6844444444444	3	158600	-0.2704768313	32.11	together	gfp
YKL035W	UGP1	10	657600	0.0737024648674612	6.8	1	657700	0.0539417695688866	0	unique_brion	gfp
YKL035W	UGP1	7	125700	0.0998132004911911	4.76666666666667	1	141300	0.1027503866	5.63	together	gfp
YKL035W	UGP1	1	40380	0.0540312389124279	0.753333333333333	0	40600	0.0864690778	4.8	unique_albert	gfp
YKL035W	UGP1	2	400486	-0.0563347471130857	2.35666666666667	0	400300	-0.1047001845	6.32	unique_albert	gfp
YKL035W	UGP1	4	593211	-0.0230418190955679	0.84	0	593200	-0.1412857139	9.48	unique_albert	gfp
YKL035W	UGP1	7	556096	0.0132432431863524	0.55	0	556600	0.0946592604	5.15	unique_albert	gfp
YKL035W	UGP1	8	149347	0.0233612927865973	0.996666666666667	0	149500	0.1312660508	4.65	unique_albert	gfp
YKL035W	UGP1	11	98707	0.0466666787041666	1.38333333333333	0	98400	0.125160351	10.49	unique_albert	gfp
YKL035W	UGP1	12	140997	-0.0664786582795333	2.45666666666667	0	140800	-0.1837863585	14.99	unique_albert	gfp
YKL035W	UGP1	12	969880	0.0654486687513239	4.31666666666667	0	969500	0.1470865434	8.03	unique_albert	gfp
YKL035W	UGP1	16	183482	-0.0378654031946703	1.86	0	185500	-0.1520794897	7.98	unique_albert	gfp
YKL035W	UGP1	16	499388	-0.0185332725731717	0.83	0	499500	-0.1385823033	12.86	unique_albert	gfp
