genes	names	chr	brionmaxpos	briondeltaAF	brionLOD	repnum	albertmaxpos	albertR	albertLOD	correspond	channel
YJR048W	CYC1	14	269607	0.0218665556898269	1.3	0	269607	0.187813460358765	7.89156078429819	unique_albert	mch
YJR048W	CYC1	8	153963	0.000567805899503138	0.445	0	154167	-0.138912879368461	4.28197557396391	unique_albert	mch
YJR048W	CYC1	10	649035	-0.0470132730380614	1.535	0	648461	0.159354455307822	5.65244962853039	unique_albert	mch
YDL022W	GPD1	2	585700	-0.0722792144192883	3.55	2	585769	0.00541768841886251	0	unique_brion	mch
YDL022W	GPD1	5	515216.666666667	-0.279484831690151	46.6136111111111	6	515950	-0.0117812145027447	0	unique_brion	mch
YDL022W	GPD1	8	109360	-0.0982448011774204	4.336	5	110970	-0.0191977180339406	0	unique_brion	mch
YDL022W	GPD1	12	692650	-0.160226912487039	15.3777777777778	6	662515	-0.244141275101225	13.5049736244408	together	mch
YDL022W	GPD1	13	36716.6666666667	-0.0829390900623336	3.91861111111111	6	36440	0.0697593089954343	0	unique_brion	mch
YDL022W	GPD1	14	472933.333333333	0.312338884480613	57.1702777777778	6	466588	-0.14633658550148	4.75699584585995	oposite	mch
YDL022W	GPD1	14	300017	0.0981819852763202	9.795	0	300017	0.189331688808882	8.02202919277623	unique_albert	mch
YDL022W	GPD1	16	291046	0.0234818949014228	0.958333333333333	0	291046	-0.121158177488317	3.24973188928171	unique_albert	mch
YDL022W	GPD1	15	140220	-0.0526699157687928	2.19333333333333	0	140220	-0.156424131471316	5.44390553970138	unique_albert	mch
YDL022W	GPD1	2	379311	-0.0354661139027543	1.43	0	379311	-0.131769091759461	3.84910577363757	unique_albert	mch
YDL022W	GPD1	15	524541	-0.032541653603667	1.84166666666667	0	524541	-0.171569559418689	6.56579142773173	unique_albert	mch
YDL022W	GPD1	4	229467	-0.050139095118569	2.26833333333333	0	229467	-0.135995174057867	4.10231673927787	unique_albert	mch
YDL022W	GPD1	12	136527	-0.00908159925105467	0.755	0	136527	-0.171644548979558	6.57161892932993	unique_albert	mch
YDL022W	GPD1	7	126466	0.00174082171133449	0.451666666666667	0	126593	0.24004539662353	13.0420313303422	unique_albert	mch
YKR080W	MTD1	2	570950	-0.130762441722662	8.5875	2	571034	0.0196817858318847	0	unique_brion	mch
YKR080W	MTD1	8	112800	-0.111805607881535	10.105	2	186657	-0.146760581063186	4.78490434704695	together	mch
YKR080W	MTD1	10	133300	0.154143739898669	11.5825	2	133354	-0.000778726401079727	0	unique_brion	mch
YKR080W	MTD1	14	466750	0.264791553782931	38.7325	2	442493	-0.325941508777873	24.6816930907272	oposite	mch
YKR080W	MTD1	12	693300	-0.073938972889194	3.445	1	693579	0.121145694077709	0	unique_brion	mch
YKR080W	MTD1	13	343663	0.0418990697907545	2.365	0	343663	-0.174189513070127	6.77099298205614	unique_albert	mch
YKR080W	MTD1	7	141946	-0.0187599943187952	0.55	0	141743	-0.141595990863339	4.45068884723278	unique_albert	mch
YKR080W	MTD1	3	130372	0.00551471409715132	0.455	0	130462	0.140535575532529	4.38360900265006	unique_albert	mch
YKR080W	MTD1	7	373713	0.048237890641006	1.655	0	374227	0.149321318691161	4.95525210407871	unique_albert	mch
YKR080W	MTD1	4	629042	-0.0182273403624208	1.215	0	628602	0.17790021357333	7.06728383094968	unique_albert	mch
YKR080W	MTD1	15	174019	0.0101700670063145	0.52	0	173814	0.22906559967264	11.8442008748291	unique_albert	mch
YKR080W	MTD1	12	136527	0.00818749739142919	0.44	0	137918	0.162291879957778	5.86558798559452	unique_albert	mch
YKR080W	MTD1	9	86586	0.00915097157546354	0.89	0	86720	-0.234859887572202	12.4685211132592	unique_albert	mch
YFL039C	NA	5	377600	0.101538274174973	8.48	1	378140	0.0196506685126092	0	unique_brion	mch
YFL039C	NA	7	113600	0.0775863080338052	5.13	1	226152	0.146802816726858	4.78768902605581	together	mch
YFL039C	NA	7	404000	0.0896930084990987	3.73	1	405432	0.0216705098423513	0	unique_brion	mch
YFL039C	NA	8	111300	0.184911311843876	14.32	1	115977	0.192339082495052	8.28380316986169	together	mch
YFL039C	NA	12	695000	-0.164468122717695	13.77	1	694915	0.0420208655840248	0	unique_brion	mch
YFL039C	NA	13	286700	0.154702078019759	11.4	1	286577	0.0881206459140589	0	unique_brion	mch
YFL039C	NA	14	531100	0.224232791715216	23.47	1	532649	0.0487172216772539	0	unique_brion	mch
YFL039C	NA	16	587900	0.0505184643617557	3.7	1	588991	-0.0270575564152334	0	unique_brion	mch
YGL055W	OLE1	11	442800	-0.0674490094099422	4.395	1	442829	0.0180057819332321	0	unique_brion	mch
YGL055W	OLE1	12	681850	-0.177587083427995	16.4	2	659769	-0.507038941316587	65.3058334063306	together	mch
YGL055W	OLE1	14	465450	0.205207101346794	25.3425	2	465187	-0.172262920477574	6.61977609020362	oposite	mch
YGL055W	OLE1	13	47300	-0.066674169395187	3.26	1	47637	0.00464709001283135	0	unique_brion	mch
YGL055W	OLE1	2	490264	-0.0296322292922318	0.745	0	490264	0.141444579173479	4.44107871736898	unique_albert	mch
YGL055W	OLE1	1	51951	-0.0389236468800212	1.31	0	52124	-0.28041646564226	17.997171423653	unique_albert	mch
YGL055W	OLE1	11	532175	-0.0506779228354766	1.575	0	531920	0.175343547167122	6.86242819592231	unique_albert	mch
YGL055W	OLE1	15	94227	0.00516990355040206	0.89	0	94056	-0.114041222369453	2.87672313749669	unique_albert	mch
YGL055W	OLE1	14	335872	0.075265334717938	6.33	0	335872	0.151886254321042	5.12896890351754	unique_albert	mch
YGL055W	OLE1	13	885661	0.0187365461372244	0.545	0	885661	0.134287616149272	3.99900874710021	unique_albert	mch
YGL055W	OLE1	9	386249	0.00713863921383147	0.465	0	386249	0.117488317133193	3.05449185177925	unique_albert	mch
YOR293W	RPS10A	2	609500	-0.10330676660772	6.09	1	609073	-0.0244963550744296	0	unique_brion	mch
YOR293W	RPS10A	4	90300	-0.10481669179115	6.56	1	90257	-0.0434649781951019	0	unique_brion	mch
YOR293W	RPS10A	4	926300	0.0499419276826134	3.33	1	926737	0.0138171995603738	0	unique_brion	mch
YOR293W	RPS10A	10	520700	0.0643065006409185	3.22	1	520808	0.00198880458868344	0	unique_brion	mch
YOR293W	RPS10A	11	213000	-0.0884232515945969	5.22	1	212874	0.00108630715436013	0	unique_brion	mch
YOR293W	RPS10A	13	262700	0.111326895159492	6.07	1	864754	-0.115333815638867	2.94274584553132	oposite	mch
YOR293W	RPS10A	14	471000	0.231123004481097	32.43	1	466588	0.195510880719402	8.56470387356612	together	mch
YOR293W	RPS10A	16	198900	0.0867473246873423	5.11	1	199138	0.0194086272820025	0	unique_brion	mch
YOR293W	RPS10A	14	370084	0.124924185517543	13.5	0	370084	-0.256537784140301	14.9601662061796	unique_albert	mch
YOR293W	RPS10A	4	592352	-0.0242158944404642	0.58	0	592352	-0.140697971058144	4.39384781037243	unique_albert	mch
YOR293W	RPS10A	12	660371	-0.0132532773858965	0.65	0	660371	0.198182508455649	8.80515829528245	unique_albert	mch
YOR293W	RPS10A	15	139908	0.0344446724763011	1.68	0	139908	0.152932568193597	5.20072285061342	unique_albert	mch
YOR293W	RPS10A	7	180027	-0.0243651385904237	1.18	0	180027	-0.141668562819448	4.45529879784718	unique_albert	mch
YGR192C	TDH3	1	196600	-0.0994336166729458	3.25	1	196932	0.018382439804923	0	unique_brion	mch
YGR192C	TDH3	2	574600	-0.0514003160235188	5.14	1	573799	-0.0154754590942072	0	unique_brion	mch
YGR192C	TDH3	5	407400	0.190191009832563	15.36	1	407785	-0.0581747974377766	0	unique_brion	mch
YGR192C	TDH3	8	99700	-0.0878141883798798	4.52	1	100079	-0.0638758520725998	0	unique_brion	mch
YGR192C	TDH3	10	152000	0.205733752849037	21.74	1	152412	0.0270844670438895	0	unique_brion	mch
YGR192C	TDH3	11	180200	-0.0641089792344378	4.01	1	180597	0.0131292443139054	0	unique_brion	mch
YGR192C	TDH3	14	149000	-0.0705474100359267	3.44	1	148331	-0.00735548648531342	0	unique_brion	mch
YGR192C	TDH3	14	481600	0.203094419770534	23.6	1	464117	0.44134550532744	47.6088339329781	together	mch
YGR192C	TDH3	13	232771	0.0424882765061035	0.51	0	232771	-0.124454617372544	3.43037935092614	unique_albert	mch
YGR192C	TDH3	15	1026427	-0.00324908710461054	0.59	0	1026427	-0.121342177998092	3.25968361648594	unique_albert	mch
YGR192C	TDH3	12	671257	-0.0400518122056127	0.67	0	671257	0.203903901346569	9.3319973735639	unique_albert	mch
YGR192C	TDH3	14	259493	-0.019950371979771	0.51	0	259694	0.124169140555567	3.41453727640274	unique_albert	mch
YLL028W	TPO1	11	308500	-0.0581605394577704	4.0875	2	308425	-0.00742269576611259	0	unique_brion	mch
YLL028W	TPO1	12	677200	-0.134170507903013	12.7675	2	642132	-0.190790798819564	8.1484810426439	together	mch
YLL028W	TPO1	13	63400	-0.114001261797591	7.6425	2	62570	0.0492807623519108	0	unique_brion	mch
YLL028W	TPO1	14	469400	0.245896914972749	32.6775	2	469224	-0.0228716344986709	0	unique_brion	mch
YLL028W	TPO1	15	144550	-0.155906879855757	17.3475	2	151910	-0.704456299743044	150.682965852067	together	mch
YLL028W	TPO1	2	626000	-0.0763648118872198	4.4	1	617783	0.181582380312848	7.36787769097371	oposite	mch
YLL028W	TPO1	4	131512	-0.0217561240424216	1.045	0	131600	0.124935307714713	3.45713928120921	unique_albert	mch
YLL028W	TPO1	16	138394	0.0159770376154513	0.58	0	138394	0.128625564402111	3.66612298471197	unique_albert	mch
YLL028W	TPO1	14	394076	0.156649053910565	15.015	0	394076	-0.143546399277065	4.5754390523662	unique_albert	mch
YLL028W	TPO1	15	604757	-0.0191834561783824	0.785	0	604413	0.170573353660255	6.48863163542591	unique_albert	mch
YLL028W	TPO1	10	156976	0.0141735178815181	0.585	0	156976	0.126302116567444	3.53381096393375	unique_albert	mch
YLL028W	TPO1	13	776467	0.0184098494419201	0.465	0	776467	0.15888755258156	5.6189487274252	unique_albert	mch
YKL035W	UGP1	4	1071200	-0.205549735930151	26.0544444444444	3	1071689	-0.0765981418294726	0	unique_brion	mch
YKL035W	UGP1	10	130133.333333333	0.118297369655377	5.21555555555556	3	129912	0.0358647646051851	0	unique_brion	mch
YKL035W	UGP1	13	52033.3333333333	-0.102693775501125	6.01222222222222	3	52335	0.00802146846701481	0	unique_brion	mch
YKL035W	UGP1	14	483333.333333333	0.24409344952275	29.3288888888889	3	481896	0.0653627046411663	0	unique_brion	mch
YKL035W	UGP1	7	131125	-0.0209381266533995	0.576666666666667	0	130869	0.171634090888114	6.57080606020184	unique_albert	mch
YKL035W	UGP1	14	300017	0.0479326478262773	3.32333333333333	0	300017	0.258582280909966	15.2080454636757	unique_albert	mch
YKL035W	UGP1	15	512726	0.0506588561634066	1.9	0	513015	-0.131126590845046	3.81133449936319	unique_albert	mch
YKL035W	UGP1	14	376313	0.115605979915972	9.09	0	376313	0.140559837917294	4.38513792997685	unique_albert	mch
YKL035W	UGP1	15	139908	-0.057956459362295	3.03333333333333	0	139908	-0.247027254409641	13.8364676969185	unique_albert	mch
YKL035W	UGP1	8	110970	-0.0659380693046077	1.66	0	110970	0.115063782846315	2.92889005543531	unique_albert	mch
YKL035W	UGP1	12	136527	-0.00726829983383199	0.79	0	136527	-0.229825798702493	11.9251215553989	unique_albert	mch
