Chromosome	ORF	Promoter	UTR5	Start	End	UTR3	Terminator	End to end?	Tail to Tail?
chrI	YAL023C	202	85	108552	106273	110	229	0	0
chrI	YAL022C	153	34	110431	108878	39	202	0	1
chrI	YAL021C	164	40	113360	110847	229	153	0	0
chrI	YAL019W-A	Not available 	Not available 	114251	114820	Not available 	Not available 	0	1
chrI	YAL020C	Not available 	Not available 	114616	113615	51	164	0	1
chrI	YAL019W	Not available 	104	114920	118315	62	Not available 	1	0
chrI	YAL018C	Not available 	Not available 	119542	118565	Not available 	Not available 	1	0
chrI	YAL017W	Not available 	368	120226	124296	189	0	1	1
chrI	YAL016C-B	Not available 	5	124493	124308	273	0	1	0
chrI	YAL016W	Not available 	Not available 	124880	126787	70	Not available 	1	1
chrI	YAL016C-A	Not available 	Not available 	125070	124756	Not available 	Not available 	0	0
chrI	YAL015C	Not available 	Not available 	128103	126904	115	Not available 	1	1
chrI	YAL014C	165	44	129020	128253	138	Not available 	0	0
chrI	YAL013W	80	33	129271	130533	42	161	0	1
chrI	YAL012W	161	66	130802	131986	101	Not available 	0	0
chrI	YAL011W	Not available 	Not available 	132202	134079	99	0	1	0
chrI	YAL010C	54	20	135667	134186	99	Not available 	1	0
chrI	YAL009W	64	26	135856	136635	115	95	0	1
chrI	YAL008W	95	71	136916	137512	134	0	1	1
chrI	YAL007C	Not available 	68	138347	137700	126	0	1	1
chrI	YAL004W	Not available 	Not available 	140762	141409	Not available 	Not available 	0	1
chrI	YAL005C	469	64	141433	139505	127	Not available 	1	0
chrI	YAL003W	Not available 	13	142176	143162	210	Not available 	0	1
chrI	YAL002W	Not available 	Not available 	143709	147533	Not available 	Not available 	1	1
chrI	YAL001C	971	20	151168	147596	64	Not available 	1	0
chrI	YAR002W	1001	26	152259	153878	100	47	1	1
chrI	YAR002C-A	0	42	154726	154067	61	102	1	1
chrI	YAR003W	191	29	155007	156287	496	0	1	0
chrI	YAR007C	181	65	158621	156756	52	388	1	0
chrI	YAR008W	184	110	158967	159794	100	6698	1	1
chrI	YAR014C	256	151	168866	166743	168	6671	1	1
chrI	YAR015W	302	34	169370	170290	97	0	1	1
chrI	YAR018C	397	40	171698	170391	44	23	1	1
chrI	YAR019W-A	Not available 	Not available 	174996	175340	Not available 	Not available 	1	1
chrI	YAR019C	Not available 	Not available 	175133	172209	74	397	0	0
chrI	YAR020C	Not available 	Not available 	177021	176854	Not available 	Not available 	1	1
chrI	YAR023C	3501	267	179818	179279	40	Not available 	0	1
chrI	YAR027W	3897	9	183764	184471	178	189	0	1
chrI	YAR028W	189	48	184886	185590	197	Not available 	0	1
chrI	YAR029W	Not available 	Not available 	186315	186539	Not available 	Not available 	1	0
chrI	YAR031W	Not available 	Not available 	186830	187726	Not available 	Not available 	0	1
chrI	YAR030C	Not available 	Not available 	186847	186506	Not available 	Not available 	1	1
chrI	YAR033W	Not available 	Not available 	188101	188805	Not available 	Not available 	0	1
chrI	YAR035W	Not available 	Not available 	190187	192250	Not available 	Not available 	1	1
chrI	YAR035C-A	Not available 	Not available 	192411	192331	Not available 	Not available 	1	1
chrI	YAR042W	Not available 	94	192613	196179	165	Not available 	1	1
chrI	YAR047C	Not available 	Not available 	201780	201460	Not available 	Not available 	1	0
chrI	YAR050W	Not available 	Not available 	203394	208007	Not available 	Not available 	0	0
chrI	YAR053W	Not available 	Not available 	208358	208654	Not available 	Not available 	1	1
chrI	YAR060C	Not available 	Not available 	217483	217148	Not available 	Not available 	1	0
chrI	YAR064W	Not available 	Not available 	220189	220488	Not available 	Not available 	0	1
chrI	YAR066W	Not available 	Not available 	221040	221651	Not available 	Not available 	0	1
chrI	YAR068W	Not available 	Not available 	222397	222882	Not available 	Not available 	1	0
chrI	YAR069C	Not available 	Not available 	224295	224002	Not available 	Not available 	1	0
chrI	YAR070C	Not available 	Not available 	224853	224554	Not available 	Not available 	0	0
chrI	YAR071W	Not available 	Not available 	225451	226854	51	Not available 	0	0
chrI	YAR073W	Not available 	Not available 	227733	228944	Not available 	Not available 	0	1
chrI	YAR075W	Not available 	Not available 	228835	229308	Not available 	Not available 	1	0
chrII	YBL113W-A	Not available 	Not available 	646	1128	Not available 	Not available 	1	0
chrII	YBL113C	Not available 	Not available 	2658	280	Not available 	Not available 	1	1
chrII	YBL112C	Not available 	Not available 	2899	2582	Not available 	Not available 	0	1
chrII	YBL111C	Not available 	Not available 	5009	2907	Not available 	Not available 	0	0
chrII	YBL109W	Not available 	Not available 	5790	6125	Not available 	Not available 	1	0
chrII	YBL108C-A	Not available 	Not available 	7733	7605	Not available 	Not available 	1	0
chrII	YBL108W	Not available 	Not available 	8177	8482	Not available 	Not available 	0	1
chrII	YBL107W-A	Not available 	Not available 	9268	9372	Not available 	Not available 	1	0
chrII	YBL107C	220	41	10551	9961	109	Not available 	1	1
chrII	YBL106C	175	54	13879	10847	35	220	0	1
chrII	YBL105C	81	325	17696	14241	133	175	0	1
chrII	YBL104C	589	7	21293	18177	75	81	0	0
chrII	YBL103C	272	142	23535	22075	186	589	0	1
chrII	YBL102W	287	90	24098	24745	149	0	1	1
chrII	YBL101C	Not available 	65	28299	24946	118	0	1	1
chrII	YBL100W-C	Not available 	Not available 	28427	28546	Not available 	Not available 	1	1
chrII	YBL099W	0	298	37050	38687	267	166	0	0
chrII	YBL100C	Not available 	Not available 	37300	36986	223	Not available 	1	1
chrII	YBL098W	166	22	39142	40524	124	Not available 	0	0
chrII	YBL097W	Not available 	Not available 	40828	43092	Not available 	Not available 	1	1
chrII	YBL095W	Not available 	Not available 	43274	44086	120	Not available 	1	0
chrII	YBL096C	Not available 	Not available 	43479	43171	Not available 	Not available 	1	0
chrII	YBL094C	Not available 	Not available 	44094	43762	Not available 	Not available 	1	0
chrII	YBL093C	883	107	44915	44253	135	Not available 	0	0
chrII	YBL092W	591	334	45975	46367	70	Not available 	1	1
chrII	YBL091C-A	Not available 	Not available 	47177	46562	44	0	1	1
chrII	YBL091C	44	33	48625	47360	68	Not available 	0	0
chrII	YBL090W	109	20	48822	49355	120	50	0	0
chrII	YBL089W	50	46	49571	50950	49	Not available 	1	0
chrII	YBL088C	Not available 	Not available 	59379	51016	67	0	1	1
chrII	YBL087C	423	20	60735	59818	70	Not available 	0	0
chrII	YBL086C	1157	27	62599	61199	21	423	0	1
chrII	YBL085W	1232	21	63873	66815	90	138	1	1
chrII	YBL084C	109	123	69442	67166	139	191	1	0
chrII	YBL083C	Not available 	Not available 	70135	69710	36	109	0	1
chrII	YBL082C	Not available 	Not available 	71124	69748	Not available 	Not available 	0	0
chrII	YBL081W	Not available 	76	71863	72969	59	25	1	1
chrII	YBL080C	270	14	74692	73067	1231	0	1	0
chrII	YBL079W	0	27	75256	79764	280	304	1	0
chrII	YBL078C	0	27	80728	80375	459	125	1	0
chrII	YBL077W	Not available 	Not available 	80895	81326	860	0	1	1
chrII	YBL076C	156	15	84259	81041	67	Not available 	1	1
chrII	YBL075C	Not available 	133	86446	84497	67	156	0	0
chrII	YBL073W	Not available 	Not available 	87644	87955	Not available 	Not available 	1	1
chrII	YBL074C	Not available 	Not available 	87787	86720	Not available 	Not available 	0	1
chrII	YBL072C	Not available 	315	89123	88521	85	Not available 	1	1
chrII	YBL071C-B	Not available 	Not available 	89554	89456	Not available 	Not available 	0	0
chrII	YBL071W-A	Not available 	36	89976	90224	248	Not available 	1	1
chrII	YBL071C	Not available 	Not available 	90529	90221	Not available 	Not available 	1	0
chrII	YBL069W	Not available 	57	90739	92028	82	Not available 	0	1
chrII	YBL070C	Not available 	Not available 	90923	90603	Not available 	Not available 	0	1
chrII	YBL068W-A	Not available 	Not available 	91792	92028	82	248	0	1
chrII	YBL068W	248	54	92412	93395	84	0	1	0
chrII	YBL067C	Not available 	267	95884	93641	105	87	1	1
chrII	YBL065W	Not available 	Not available 	99965	100309	Not available 	Not available 	1	1
chrII	YBL066C	Not available 	Not available 	100117	96671	Not available 	Not available 	0	0
chrII	YBL064C	Not available 	33	101158	100373	49	Not available 	1	0
chrII	YBL063W	Not available 	Not available 	101888	105223	Not available 	Not available 	0	1
chrII	YBL062W	Not available 	Not available 	105310	105690	Not available 	Not available 	1	1
chrII	YBL061C	379	101	107408	105318	79	Not available 	1	1
chrII	YBL060W	387	60	107934	109997	46	70	1	1
chrII	YBL059C-A	8	14	110541	110127	219	0	1	0
chrII	YBL059W	Not available 	Not available 	110596	111246	33	131	0	1
chrII	YBL058W	131	29	111439	112710	118	0	1	1
chrII	YBL057C	0	6	113447	112803	51	13	1	0
chrII	YBL056W	186	81	113765	115171	394	0	1	1
chrII	YBL055C	472	93	116832	115576	71	253	1	1
chrII	YBL054W	588	101	117592	119169	195	Not available 	0	1
chrII	YBL053W	Not available 	Not available 	119338	119712	Not available 	Not available 	1	1
chrII	YBL052C	423	40	121877	119382	48	Not available 	1	0
chrII	YBL051C	243	60	124762	122756	416	423	0	1
chrII	YBL050W	0	75	125128	126122	63	422	0	1
chrII	YBL049W	422	224	126831	127247	266	Not available 	0	1
chrII	YBL048W	Not available 	Not available 	127302	127613	765	0	1	1
chrII	YBL047C	0	153	132043	127898	214	Not available 	1	1
chrII	YBL046W	132	38	132427	133752	314	0	1	1
chrII	YBL045C	Not available 	196	135519	134146	163	193	1	0
chrII	YBL044W	Not available 	Not available 	136001	136369	Not available 	Not available 	0	1
chrII	YBL043W	Not available 	134	136691	137464	223	609	1	1
chrII	YBL042C	891	48	140263	138344	170	576	1	0
chrII	YBL041W	775	42	141250	141975	48	69	1	0
chrII	YBL040C	385	23	142871	142115	78	20	1	1
chrII	YBL039W-B	163	284	143396	143575	117	245	1	0
chrII	YBL039C-A	Not available 	Not available 	145034	144951	Not available 	Not available 	1	1
chrII	YBL039C	340	55	145731	143992	80	Not available 	0	1
chrII	YBL038W	Not available 	49	146190	146888	64	178	0	0
chrII	YBL037W	178	82	147212	150289	141	0	1	1
chrII	YBL036C	189	25	151223	150450	125	0	1	1
chrII	YBL035C	41	187	153613	151496	59	189	0	-1
chrII	YBL034C	136	68	158392	153851	10	41	0	1
chrII	YBL033C	288	29	159696	158659	63	136	0	1
chrII	YBL032W	353	75	160187	161332	174	175	0	0
chrII	YBL031W	175	21	161702	162718	226	9	1	1
chrII	YBL030C	279	91	164000	163044	275	30	1	1
chrII	YBL029C-A	1254	95	164775	164491	121	279	0	1
chrII	YBL029W	1130	111	166137	167267	13	208	1	0
chrII	YBL028C	461	33	167841	167521	195	0	1	0
chrII	YBL027W	367	23	168426	169379	91	1091	0	1
chrII	YBL026W	1091	65	170626	171041	128	190	0	1
chrII	YBL025W	190	125	171484	171921	74	430	0	0
chrII	YBL024W	430	112	172537	174591	88	186	1	0
chrII	YBL023C	233	58	177529	174923	194	26	1	0
chrII	YBL022C	113	113	181278	177877	57	233	0	1
chrII	YBL021C	211	18	182097	181663	159	113	0	0
chrII	YBL020W	0	158	182404	184128	78	Not available 	0	0
chrII	YBL019W	Not available 	Not available 	184356	185918	Not available 	Not available 	1	0
chrII	YBL018C	293	30	186477	186001	36	Not available 	1	1
chrII	YBL017C	554	184	191586	186847	47	293	0	0
chrII	YBL016W	595	226	192454	193515	130	402	0	1
chrII	YBL015W	402	78	194125	195705	242	Not available 	1	1
chrII	YBL014C	Not available 	Not available 	201751	199067	92	3192	1	1
chrII	YBL013W	Not available 	Not available 	202059	203264	Not available 	Not available 	1	0
chrII	YBL011W	Not available 	Not available 	203541	205820	206	62	1	1
chrII	YBL012C	Not available 	Not available 	203810	203409	Not available 	Not available 	1	1
chrII	YBL010C	101	22	206952	206110	257	Not available 	1	0
chrII	YBL009W	0	34	207197	209227	122	Not available 	0	1
chrII	YBL008W-A	Not available 	Not available 	209412	209651	Not available 	Not available 	0	0
chrII	YBL008W	Not available 	Not available 	209656	212178	Not available 	Not available 	1	0
chrII	YBL007C	Not available 	Not available 	216369	212635	59	Not available 	1	1
chrII	YBL006W-A	Not available 	Not available 	216714	216863	Not available 	Not available 	0	0
chrII	YBL006C	19	17	217132	216590	156	Not available 	1	1
chrII	YBL005W	Not available 	40	217473	220403	305	6840	0	1
chrII	YBL004W	6840	91	227639	235120	60	152	1	1
chrII	YBL003C	445	65	235795	235397	147	39	1	1
chrII	YBL002W	504	49	236495	236890	190	7	1	1
chrII	YBL001C	1338	68	237469	237155	40	176	1	1
chrII	YBR001C	218	116	241285	238943	68	1338	0	1
chrII	YBR002C	63	48	242570	241710	91	218	0	0
chrII	YBR003W	127	23	242811	244232	130	0	1	0
chrII	YBR004C	39	54	245669	244368	91	22	1	0
chrII	YBR005W	113	35	245908	246549	146	216	0	1
chrII	YBR006W	216	101	247012	248505	118	173	1	1
chrII	YBR007C	1517	11	251017	248807	127	74	1	1
chrII	YBR008C	880	134	254210	252564	19	1517	0	1
chrII	YBR009C	460	25	255682	255371	147	880	0	1
chrII	YBR010W	491	9	256329	256739	162	198	1	0
chrII	YBR011C	1014	11	257973	257110	90	272	1	1
chrII	YBR012C	5876	29	259564	259145	147	1014	0	1
chrII	YBR013C	737	23	265879	265490	21	5876	0	1
chrII	YBR014C	182	62	267336	266725	86	737	0	0
chrII	YBR015C	429	107	269503	267710	130	182	0	1
chrII	YBR016W	576	38	270247	270633	208	57	1	1
chrII	YBR017C	649	49	273703	270947	77	199	1	1
chrII	YBR018C	Not available 	32	275527	274427	26	649	0	0
chrII	YBR019C	Not available 	Not available 	278352	276253	Not available 	Not available 	0	0
chrII	YBR020W	Not available 	Not available 	279021	280607	Not available 	Not available 	0	0
chrII	YBR021W	Not available 	113	281443	283344	140	169	0	1
chrII	YBR022W	169	85	283738	284271	150	0	1	0
chrII	YBR023C	1253	50	287925	284428	120	0	1	1
chrII	YBR024W	1316	84	289445	290350	217	75	1	0
chrII	YBR025C	881	39	291865	290681	184	63	1	0
chrII	YBR026C	Not available 	Not available 	294019	292877	92	881	0	1
chrII	YBR027C	Not available 	Not available 	294356	294024	824	Not available 	0	1
chrII	YBR028C	Not available 	Not available 	296002	294425	Not available 	Not available 	0	1
chrII	YBR029C	0	685	297742	296369	121	Not available 	0	1
chrII	YBR030W	365	64	298292	299950	115	0	0	0
chrII	YBR031W	0	169	300166	301254	95	Not available 	0	0
chrII	YBR032W	Not available 	Not available 	301519	301821	Not available 	Not available 	0	0
chrII	YBR033W	Not available 	Not available 	301944	304703	Not available 	Not available 	1	1
chrII	YBR034C	175	19	305976	304930	157	Not available 	1	1
chrII	YBR035C	2052	17	306955	306269	99	175	0	1
chrII	YBR036C	144	49	310313	309081	57	2052	0	0
chrII	YBR037C	259	14	311451	310564	58	144	0	1
chrII	YBR038W	295	93	311897	314788	173	522	0	1
chrII	YBR039W	522	92	315575	316510	180	Not available 	0	0
chrII	YBR040W	Not available 	Not available 	316968	317864	Not available 	Not available 	0	1
chrII	YBR041W	Not available 	48	318266	320275	182	Not available 	1	1
chrII	YBR042C	Not available 	Not available 	321609	320416	91	2	1	1
chrII	YBR043C	197	151	323945	321876	124	Not available 	0	1
chrII	YBR044C	Not available 	68	326058	324337	44	197	0	1
chrII	YBR045C	Not available 	Not available 	330090	328369	Not available 	Not available 	0	1
chrII	YBR046C	183	58	331509	330505	19	Not available 	0	1
chrII	YBR047W	258	45	331831	332358	81	362	0	1
chrII	YBR048W	362	28	332829	333810	210	232	1	0
chrII	YBR049C	205	132	336816	334384	248	298	1	1
chrII	YBR051W	Not available 	Not available 	337986	338336	Not available 	Not available 	1	1
chrII	YBR050C	Not available 	Not available 	338197	337181	28	205	0	0
chrII	YBR052C	236	45	339350	338718	31	Not available 	1	1
chrII	YBR053C	1935	52	340749	339673	42	236	0	1
chrII	YBR054W	1993	315	343099	344133	363	81	1	1
chrII	YBR055C	521	23	347299	344600	72	80	1	1
chrII	YBR056W	464	42	347877	349382	34	1823	0	0
chrII	YBR056W-A	1823	14	351253	351453	446	Not available 	1	1
chrII	YBR056C-B	Not available 	Not available 	351449	351291	Not available 	Not available 	1	1
chrII	YBR057C	255	99	353291	352191	102	622	1	-1
chrII	YBR058C	177	22	356015	353670	25	255	0	0
chrII	YBR058C-A	211	45	356564	356322	108	177	0	1
chrII	YBR059C	403	32	360185	356859	39	211	0	1
chrII	YBR060C	2049	68	362512	360650	30	403	0	1
chrII	YBR061C	116	55	365717	364785	156	2049	0	1
chrII	YBR062C	252	8	366598	365974	86	116	0	1
chrII	YBR064W	Not available 	Not available 	367761	368189	Not available 	Not available 	1	1
chrII	YBR063C	Not available 	Not available 	368182	366968	110	252	0	1
chrII	YBR065C	244	43	369676	368582	167	Not available 	1	0
chrII	YBR066C	1098	195	370697	370035	72	244	0	0
chrII	YBR067C	895	30	372732	372100	110	1098	0	1
chrII	YBR068C	726	51	375687	373858	201	895	0	1
chrII	YBR069C	669	101	378430	376571	107	726	0	1
chrII	YBR070C	150	65	379931	379218	18	669	0	0
chrII	YBR071W	400	59	380408	381043	262	662	0	0
chrII	YBR072W	662	60	382027	382671	165	Not available 	1	1
chrII	YBR072C-A	Not available 	Not available 	383016	382855	104	20	1	0
chrII	YBR073W	14	75	383209	385983	64	229	0	1
chrII	YBR074W	229	5	386281	389211	26	Not available 	0	0
chrII	YBR076W	Not available 	Not available 	390369	391388	Not available 	Not available 	1	0
chrII	YBR076C-A	Not available 	Not available 	391611	391345	160	Not available 	1	1
chrII	YBR077C	668	122	392287	391799	203	Not available 	0	0
chrII	YBR078W	465	163	393118	394854	41	456	1	1
chrII	YBR079C	189	26	398271	395377	64	296	1	1
chrII	YBR080C	242	21	400884	398608	122	189	0	0
chrII	YBR081C	1109	147	405245	401247	100	242	0	1
chrII	YBR082C	1737	210	407163	406622	121	1109	0	0
chrII	YBR083W	1724	155	409163	410623	53	302	0	1
chrII	YBR084W	302	70	411048	413975	162	0	1	1
chrII	YBR084C-A	423	131	415255	414180	95	40	1	1
chrII	YBR085W	537	90	415977	416900	168	1776	1	0
chrII	YBR085C-A	885	57	419158	418901	334	1577	1	1
chrII	YBR086C	425	247	423035	420195	95	885	0	0
chrII	YBR087W	616	13	423759	424823	52	Not available 	1	1
chrII	YBR089W	Not available 	Not available 	425177	425776	0	0	1	0
chrII	YBR088C	Not available 	Not available 	425760	424984	28	120	1	0
chrII	YBR089C-A	Not available 	439	426483	426184	134	Not available 	1	1
chrII	YBR090C	Not available 	Not available 	427052	426327	Not available 	Not available 	0	0
chrII	YBR091C	164	27	427478	427149	87	Not available 	0	1
chrII	YBR092C	398	13	429095	427692	23	164	0	1
chrII	YBR093C	946	48	430945	429542	36	398	0	0
chrII	YBR094W	993	56	432030	434291	91	0	1	1
chrII	YBR095C	185	68	435692	434400	105	0	1	1
chrII	YBR096W	134	84	436015	436707	70	Not available 	0	0
chrII	YBR097W	Not available 	Not available 	436945	441309	75	39	0	1
chrII	YBR098W	39	86	441509	443584	215	Not available 	1	0
chrII	YBR099C	Not available 	Not available 	443301	442918	Not available 	Not available 	1	0
chrII	YBR101C	215	38	444687	443815	11	134	1	0
chrII	YBR102C	Not available 	63	447317	445056	116	215	0	0
chrII	YBR103W	Not available 	Not available 	447703	449310	Not available 	Not available 	1	1
chrII	YBR103C-A	Not available 	Not available 	449457	449314	Not available 	Not available 	1	0
chrII	YBR104W	Not available 	58	449661	450650	89	105	1	1
chrII	YBR105C	517	31	451963	450875	98	69	1	0
chrII	YBR106W	546	45	452652	453218	141	312	1	1
chrII	YBR107C	32	116	454524	453787	520	4	1	1
chrII	YBR108W	0	31	454816	457659	144	81	1	0
chrII	YBR109C	Not available 	29	458356	457913	171	52	1	0
chrII	YBR109W-A	Not available 	Not available 	458602	458826	Not available 	Not available 	0	1
chrII	YBR110W	Not available 	Not available 	458866	460215	101	823	1	1
chrII	YBR111C	74	33	461867	461172	50	Not available 	1	1
chrII	YBR111W-A	191	25	462133	462573	159	Not available 	1	0
chrII	YBR113W	Not available 	Not available 	465560	466042	0	Not available 	0	1
chrII	YBR112C	Not available 	Not available 	465764	462864	287	0	1	1
chrII	YBR114W	Not available 	Not available 	467242	469614	Not available 	Not available 	1	0
chrII	YBR115C	Not available 	119	473920	469742	24	Not available 	1	0
chrII	YBR116C	Not available 	Not available 	474720	474193	Not available 	Not available 	0	1
chrII	YBR117C	Not available 	Not available 	476431	474386	Not available 	Not available 	0	1
chrII	YBR118W	Not available 	14	477665	479041	88	131	0	1
chrII	YBR119W	131	72	479332	480317	146	0	1	1
chrII	YBR120C	994	68	480917	480429	42	0	1	0
chrII	YBR121C-A	Not available 	Not available 	482478	482320	341	994	0	0
chrII	YBR121C	350	81	483361	481358	81	Not available 	0	1
chrII	YBR122C	156	34	484497	483964	172	350	0	1
chrII	YBR124W	Not available 	Not available 	486501	486860	Not available 	Not available 	1	0
chrII	YBR123C	Not available 	64	486685	484736	49	156	0	0
chrII	YBR125C	243	176	488374	487193	170	Not available 	1	1
chrII	YBR126C	Not available 	59	490386	488899	106	243	0	1
chrII	YBR126W-A	Not available 	Not available 	490844	491050	Not available 	Not available 	0	0
chrII	YBR126W-B	Not available 	102	490921	491064	132	21	1	1
chrII	YBR127C	142	46	492816	491263	148	0	1	1
chrII	YBR128C	74	51	494109	493075	71	142	0	1
chrII	YBR129C	123	36	495333	494347	113	74	0	1
chrII	YBR130C	Not available 	42	496863	495586	94	123	0	1
chrII	YBR131W	168	32	497157	499271	203	Not available 	1	1
chrII	YBR131C-A	Not available 	Not available 	497733	497644	Not available 	Not available 	0	1
chrII	YBR132C	166	131	501436	499646	125	218	1	0
chrII	YBR134W	Not available 	Not available 	504237	504638	Not available 	Not available 	0	-1
chrII	YBR133C	Not available 	Not available 	504281	501798	65	166	0	-1
chrII	YBR135W	Not available 	85	504848	505300	120	Not available 	0	1
chrII	YBR136W	Not available 	Not available 	505662	512768	Not available 	Not available 	0	0
chrII	YBR137W	Not available 	218	513038	513577	137	0	1	0
chrII	YBR138C	102	55	515330	513756	125	0	1	0
chrII	YBR139W	177	26	515658	517184	171	0	1	1
chrII	YBR140C	Not available 	108	526622	517344	84	50	1	1
chrII	YBR141W-A	Not available 	Not available 	527161	527256	Not available 	Not available 	0	1
chrII	YBR141C	113	21	528032	527019	181	Not available 	1	0
chrII	YBR142W	Not available 	43	528311	530632	145	65	1	0
chrII	YBR143C	Not available 	21	532176	530863	117	71	1	0
chrII	YBR144C	Not available 	Not available 	533543	533229	Not available 	Not available 	0	0
chrII	YBR145W	Not available 	63	533756	534811	100	281	0	1
chrII	YBR146W	281	62	535254	536090	204	146	0	1
chrII	YBR147W	146	129	536569	537459	27	251	0	0
chrII	YBR148W	251	133	537870	539699	94	160	0	0
chrII	YBR149W	160	28	539981	541015	103	65	1	1
chrII	YBR150C	381	20	544487	541203	43	117	1	1
chrII	YBR151W	345	147	545022	545972	134	Not available 	0	1
chrII	YBR152W	Not available 	Not available 	546370	547245	Not available 	Not available 	0	1
chrII	YBR153W	Not available 	53	547454	548188	339	0	1	0
chrII	YBR154C	571	111	549003	548356	73	42	1	1
chrII	YBR155W	640	49	549765	550922	80	66	1	1
chrII	YBR156C	211	30	553194	551098	154	0	1	1
chrII	YBR157C	1914	178	554304	553537	102	211	0	1
chrII	YBR158W	1872	265	556543	558192	147	200	0	1
chrII	YBR159W	200	140	558679	559722	88	201	0	1
chrII	YBR160W	201	61	560072	560968	96	533	0	1
chrII	YBR161W	533	32	561629	562759	316	0	1	1
chrII	YBR162C	424	148	564565	563198	243	164	1	1
chrII	YBR162W-A	342	76	565226	565423	89	116	0	0
chrII	YBR163W	116	90	565718	567475	77	207	1	0
chrII	YBR164C	269	111	568421	567870	103	202	1	0
chrII	YBR165W	249	74	568847	569680	46	66	1	0
