gene	chromosome	peakPosition	LOD	2LODIntervalLeft	2LODIntervalRight	alleleFrequencyDifference
YCR002C	chr12	1044700	5.89	1023100	1059600	0.1077042106
YCR002C	chr15	173400	12.07	159500	187800	0.1700447283
YCR003W	chr14	467000	8.37	439000	497400	-0.1234494178
YCR036W	chr14	459500	5.47	425000	489500	-0.1022840467
YCR077C	chr08	94900	5.97	67600	119200	0.1213853408
YCR077C	chr12	1042200	5.35	1023300	1059500	0.1008925347
YCR077C	chr14	247400	10.39	220800	275000	-0.1510764228
YCR077C	chr15	153700	7.94	139200	188700	0.1374804475
YDL022W	chr01	32900	7.67	0	58300	0.1406256189
YDL022W	chr02	454300	13.67	435400	473100	-0.1795858233
YDL022W	chr04	607800	7.13	555400	649800	-0.1267843299
YDL022W	chr05	504300	123.79	495200	511400	0.5384041802
YDL022W	chr10	153500	22.11	141900	169300	-0.2301092373
YDL022W	chr11	279400	12.09	262900	312400	-0.1814665187
YDL022W	chr12	166000	9.17	135300	217300	-0.1274864347
YDL022W	chr12	659300	27.24	646000	673300	0.249813958
YDL022W	chr13	129700	8.09	91300	158800	0.1273627212
YDL022W	chr14	481600	16.54	463300	503500	0.1962016275
YDL022W	chr15	586100	4.98	552600	633300	0.1075499568
YDL051W	chr02	128200	5.18	96200	227100	0.1092508474
YDL051W	chr07	134900	6.34	88600	221400	-0.0988651763
YDL051W	chr13	117300	9.25	61600	144100	0.1158374351
YDL051W	chr15	174900	12.39	142300	192200	0.156081063
YDL126C	chr04	245100	14.65	222300	265800	-0.1711335648
YDL126C	chr12	317500	5.24	203800	375100	-0.1032674299
YDL126C	chr12	647400	9.65	613600	686500	0.133835317
YDL126C	chr14	464300	57.7	454200	472500	0.3810301503
YDL126C	chr16	305200	5.57	265100	381700	0.0963895081
YDL160C	chr02	12800	5.19	0	46500	0.0831496421
YDL160C	chr14	467700	7.99	447500	488300	0.1411820134
YDL160C	chr14	783400	6.01	774900	783500	0.0477331639
YDL171C	chr01	33500	13.43	0	51500	-0.1623178208
YDL171C	chr05	175300	6.16	121600	209400	-0.1189574439
YDL171C	chr08	185800	7.12	145500	313500	-0.1059952366
YDL171C	chr10	125100	5.52	83100	169800	0.1074382642
YDL171C	chr11	177300	6.28	152600	279900	-0.1178377925
YDL171C	chr12	658200	6.98	629100	683900	0.133936844
YDL171C	chr14	231500	5.33	178700	297700	-0.0988840264
YDL171C	chr14	463600	12.96	450000	479300	0.1650504289
YDL171C	chr15	155200	26.55	144000	173100	0.2397896524
YDL171C	chr16	202600	5.18	157500	299100	0.1001279563
YDL208W	chr01	41500	5.28	0	75400	-0.1017917623
YDL208W	chr07	159700	14.03	137300	194800	-0.1592327446
YDL208W	chr14	456300	7.76	416800	485800	-0.1225463103
YDL208W	chr15	161200	8.79	134700	188800	0.1261984106
YDR006C	chr07	507100	6.2	452800	608000	0.0961259851
YDR006C	chr12	250600	9.71	227200	285900	-0.1463186256
YDR006C	chr12	1034600	7.64	1014600	1059600	0.1353676585
YDR006C	chr13	178000	6.07	134500	207400	0.1237245375
YDR006C	chr14	476600	4.68	420000	521600	-0.1170927886
YDR006C	chr15	178100	6.24	85900	214700	0.1110150581
YDR027C	chr07	523900	6.54	467200	586100	0.105758412
YDR027C	chr12	247800	10.11	231000	269900	-0.1533601462
YDR027C	chr12	1059500	11.98	1027100	1059600	0.171820329
YDR027C	chr14	460400	5.79	424400	507600	-0.1016195678
YDR027C	chr15	158800	8.52	132400	205400	0.1460731382
YDR050C	chr01	51900	5.26	0	84600	-0.1010825144
YDR050C	chr02	131400	5.9	100200	169600	0.1092358246
YDR050C	chr07	123700	5.91	42500	170200	-0.0925117665
YDR050C	chr07	412000	9.16	351000	434400	0.1380660687
YDR050C	chr11	277900	18.8	260900	299800	-0.209831876
YDR050C	chr13	111400	13.31	50100	128400	0.1450800393
YDR050C	chr14	465800	63.27	454300	473300	0.3685685191
YDR050C	chr15	549200	6.06	521200	601700	0.1110342308
YDR099W	chr07	963000	5.11	907000	1029100	0.0857296395
YDR099W	chr11	262200	11.87	234400	290200	-0.1536284132
YDR099W	chr13	72400	23.33	61700	113700	0.2260244386
YDR099W	chr14	464200	53.67	456600	473200	0.3442729701
YDR099W	chr15	172400	4.54	98200	219200	-0.0882071083
YDR127W	chr02	468700	7.71	397900	522400	0.120170389
YDR127W	chr04	219300	11.16	195100	241500	0.1391369794
YDR127W	chr07	934900	4.6	826300	979900	0.0858310069
YDR127W	chr08	425500	18.7	407600	458900	-0.1957277113
YDR127W	chr11	266100	5.9	217500	292400	-0.1165739952
YDR127W	chr12	647100	11.4	626200	716900	-0.1615948474
YDR127W	chr13	51800	11.29	35900	86900	0.1636456473
YDR155C	chr02	173700	7.12	108600	208400	0.11792329
YDR155C	chr04	442900	6.03	383300	555800	-0.1024290448
YDR155C	chr07	409000	6.85	356200	450900	-0.1194874075
YDR155C	chr12	651200	33.02	639700	667900	0.2826547652
YDR155C	chr13	136900	6.73	57300	177800	0.1295890605
YDR155C	chr14	478800	8.28	445100	512500	0.141139362
YDR232W	chr04	1420000	6.17	1333800	1464700	-0.102293519
YDR232W	chr05	393500	23.62	369100	414100	-0.2126919378
YDR232W	chr07	189200	10.45	159700	212200	-0.1367311628
YDR232W	chr07	494800	10.41	474400	595500	0.1428452547
YDR232W	chr08	87800	5.92	60100	123400	0.1197792731
YDR232W	chr11	231200	8.12	213800	247300	-0.1441304029
YDR232W	chr12	657100	13.97	638700	689600	-0.1724457521
YDR232W	chr14	254300	7.79	230300	282300	-0.1209423057
YDR232W	chr14	459300	12.83	443700	475800	-0.1477138869
YDR232W	chr15	410800	6.97	392900	431000	-0.1290424787
YDR232W	chr15	505500	8.06	470700	534700	-0.1271430092
YDR232W	chr15	864400	9	833200	903500	0.1338734482
YDR298C	chr04	217300	6.68	193000	253500	-0.123537762
YDR298C	chr05	382300	11	356300	411100	-0.1480558916
YDR298C	chr11	234700	9.49	211600	261500	-0.144788247
YDR298C	chr14	459500	10.82	426600	485800	-0.1558506276
YDR298C	chr15	151500	11.85	136600	182700	-0.1571464959
YDR300C	chr01	41200	5.26	0	65200	-0.1054542387
YDR300C	chr15	157000	15.64	133200	185300	0.1617831804
YDR324C	chr01	87200	5.17	44800	109000	-0.118194406
YDR324C	chr02	132600	16.97	85600	148300	0.1769002375
YDR324C	chr03	299600	6.88	237200	307000	-0.133279513
YDR324C	chr04	1081100	5.78	1050600	1117500	0.102189981
YDR324C	chr04	1350900	11.01	1290900	1374900	-0.147785075
YDR324C	chr05	111200	5.54	65700	148600	0.1077939242
YDR324C	chr05	541000	9.51	496100	560000	-0.1342689651
YDR324C	chr06	81800	6.56	66600	94400	0.1229657126
YDR324C	chr07	147600	9.72	113700	185000	-0.1247072969
YDR324C	chr07	815100	5.35	787900	869300	-0.1037996783
YDR324C	chr10	325900	10.3	302600	357300	-0.1405068128
YDR324C	chr10	497400	8.29	466000	516400	-0.1269039195
YDR324C	chr10	654600	7.44	633200	680300	-0.1115340839
YDR324C	chr11	459800	7.13	430100	510300	-0.1218679319
YDR324C	chr12	218600	11.51	174500	263300	-0.1479610785
YDR324C	chr12	647500	7.36	617400	734200	-0.1055259012
YDR324C	chr12	1059500	13.76	1039300	1059600	0.1676132846
YDR324C	chr13	223800	6.39	184800	282200	0.1078221201
YDR324C	chr13	779300	6.46	712000	818600	-0.0994258958
YDR324C	chr14	42500	14.36	0	56400	0.158975478
YDR324C	chr14	474900	9.06	457300	517000	-0.1351209601
YDR324C	chr15	170400	9.06	146800	191000	0.1312189462
YDR324C	chr15	442300	6.63	323500	468900	0.103948123
YDR324C	chr15	907000	7.83	872900	954800	-0.1183082066
YDR324C	chr16	739500	13.99	712300	790000	0.1560009333
YDR343C	chr01	41300	14.57	0	52700	-0.1596107263
YDR343C	chr04	199900	7.42	156900	241300	-0.1111041882
YDR343C	chr07	151100	6.25	92700	200700	-0.1026784717
YDR343C	chr07	485500	5.14	443200	579100	-0.1009668413
YDR343C	chr10	656900	6.6	629000	688400	-0.1193671651
YDR343C	chr12	132500	6.3	93200	169400	0.1182549803
YDR343C	chr12	650000	16.81	629900	677200	0.1786922958
YDR343C	chr15	156000	7.9	122600	184000	0.1010988871
YDR377W	chr02	534600	5.92	445100	617300	0.0965149878
YDR377W	chr05	157100	5.52	114400	208100	0.1253412511
YDR377W	chr05	404100	16.46	370100	433500	-0.1954340258
YDR377W	chr07	384600	6.42	353000	585300	0.1089178655
YDR377W	chr11	211400	14.35	181700	235100	-0.1621749111
YDR377W	chr12	652000	10.53	616500	684900	-0.1431354129
YDR377W	chr15	166100	14.21	140900	188700	-0.1766397899
YDR377W	chr15	368900	11.17	340400	439200	-0.1558247065
YDR388W	chr04	1246800	7.38	1214100	1268500	0.0803531676
YDR388W	chr05	159300	4.51	98100	322500	0.0568767933
YDR388W	chr12	252400	5.14	213200	317400	-0.1000801733
YDR388W	chr12	1013200	5.36	989300	1059600	0.0888604559
YDR496C	chr07	127800	8.03	96300	161600	-0.1197959328
YDR496C	chr12	903700	5.24	866000	944700	-0.1055542649
YDR496C	chr13	133600	5.4	109700	165900	0.1008672483
YDR496C	chr15	174900	11.25	110800	193300	0.1429801564
YEL002C	chr02	215800	4.72	131900	262000	0.1023300035
YEL002C	chr15	117100	5.14	59000	179400	0.1047472473
YER062C	chr01	44200	16.13	30100	62000	0.183322398
YER062C	chr02	406500	11.55	369900	445300	-0.1475099217
YER062C	chr04	629000	6.45	557500	679900	-0.1073892719
YER062C	chr05	198500	9.25	157800	218000	0.1549359553
YER062C	chr05	387300	7.08	353900	422000	-0.1305034902
YER062C	chr07	490900	6.77	445900	562200	0.1043691804
YER062C	chr08	103900	13.42	83300	120900	0.1742747357
YER062C	chr10	144600	12.66	114700	171800	-0.1613395058
YER062C	chr12	170000	6.19	126700	224000	-0.1204167609
YER062C	chr12	1042600	5.58	973700	1059600	0.1110741539
YER062C	chr13	86900	15.8	39500	112500	0.1715527446
YER062C	chr14	460500	8.92	434400	503400	0.1456956882
YER062C	chr15	156000	26.13	141600	176300	-0.2331472761
YER062C	chr16	515500	9.72	458500	545300	-0.1392027691
YER068W	chr14	429900	4.61	319300	500100	-0.0876667991
YER068W	chr15	156000	5.23	105200	246300	0.1183557991
YER069W	chr01	143500	7.57	112700	164900	-0.1434551116
YER069W	chr02	223500	10.62	184700	258800	0.1442817366
YER069W	chr04	1381000	6.67	1336400	1468000	-0.1173040705
YER069W	chr05	393900	9.87	353600	432800	0.1412259702
YER069W	chr06	35700	6.46	0	81300	0.1160469165
YER069W	chr07	130500	4.6	91500	162100	-0.0825328953
YER069W	chr07	515500	5.09	464400	593100	0.0965799538
YER069W	chr10	648300	12.4	631400	674000	-0.1649651837
YER069W	chr12	644000	8.38	625400	675200	-0.1422865496
YER069W	chr13	70800	5.56	46600	145200	0.1091683498
YER069W	chr13	439100	10.5	419700	469500	0.1392863268
YER069W	chr13	688200	12.31	660700	704800	0.1581421111
YER069W	chr14	430500	6.23	369700	467100	-0.1350457968
YER069W	chr15	585100	7.45	548800	606200	-0.1170067988
YER069W	chr16	493200	7.29	467000	567500	0.126169216
YER148W	chr01	35600	10.3	0	60700	-0.139116057
YER148W	chr01	205700	4.92	154200	207300	-0.0986521068
YER148W	chr04	95500	7.87	0	126200	-0.1141738996
YER148W	chr05	123000	7.24	91300	177000	0.1297010011
YER148W	chr05	447500	10.81	421100	472900	0.1729037363
YER148W	chr06	146400	6.77	88500	172100	-0.1277620236
YER148W	chr07	217500	5.8	116000	290700	-0.1014498864
YER148W	chr09	305600	5.66	267200	374400	-0.1067622189
YER148W	chr14	436300	17.04	420000	460400	-0.1833245281
YER148W	chr16	464000	4.59	423400	530400	-0.0984378998
YFL016C	chr05	307300	5.39	219400	383400	0.0867699102
YFL016C	chr07	379100	4.55	317800	611500	0.0956374007
YFL016C	chr10	149500	9.56	125800	183500	-0.1433628593
YFL016C	chr12	97300	5.52	48800	139600	0.1060456594
YFL016C	chr12	668700	6.14	622900	731700	-0.1022969188
YFL016C	chr13	117200	10.95	48400	146900	0.1283221419
YFL016C	chr14	460600	27.24	438000	478900	-0.242297897
YFL016C	chr15	525000	5.05	477300	598300	-0.1016514452
YFR024C-A	chr06	269800	5.16	239700	269900	-0.058899355
YFR024C-A	chr12	262500	5.26	229300	301300	-0.1216165585
YFR024C-A	chr12	1051700	6.16	1018000	1059600	0.1139353683
YFR024C-A	chr13	132500	6.51	112200	179800	0.090499434
YFR040W	chr12	257700	6.98	238200	297000	-0.1133049004
YFR040W	chr15	181900	6.25	147000	203400	0.1136343465
YFR056C	chr08	97400	8.8	62300	118000	0.1500016873
YGL009C	chr02	193700	10.39	152500	227800	0.1411595316
YGL009C	chr02	449400	6.26	341900	476000	0.1019866947
YGL009C	chr02	685800	11.13	671400	704900	0.1758960654
YGL009C	chr05	398700	7.76	361300	441900	0.1354824218
YGL009C	chr08	175500	9.44	157300	193200	0.1512789269
YGL009C	chr08	435200	8.63	406900	454400	0.1361897294
YGL009C	chr09	101800	4.69	68700	156800	-0.0864610771
YGL009C	chr12	676800	123.29	666500	685200	-0.5733599515
YGL009C	chr12	1036400	27.79	1018100	1050400	-0.2240782306
YGL009C	chr13	61200	17	49600	81000	0.1890522079
YGL009C	chr14	508000	125.04	500300	516700	0.543627043
YGL009C	chr15	170500	20.69	150800	185800	0.207645931
YGL009C	chr15	520300	7.44	487300	545600	-0.1184351041
YGL009C	chr16	357800	7.15	312700	426800	-0.1144839984
YGL022W	chr12	253700	4.74	205900	299000	-0.099672986
YGL026C	chr05	298100	9.79	252400	345800	0.1437982123
YGL026C	chr08	425000	6.27	372900	459600	-0.1075625597
YGL026C	chr13	84300	12.12	46200	130600	0.1344387751
YGL026C	chr14	456900	18.47	437900	475600	0.2186843467
YGL026C	chr15	125900	7.08	71000	163700	0.1102215956
YGL055W	chr01	40100	24.37	27800	53700	-0.2148510141
YGL055W	chr05	312400	7.53	272800	363200	0.1131036669
YGL055W	chr07	541700	6.56	452700	561900	0.1145934478
YGL055W	chr12	230300	5.16	130800	266800	-0.1138535121
YGL055W	chr12	655300	89.93	645800	668200	-0.4363188258
YGL055W	chr13	123900	6.24	40500	144600	0.1296590171
YGL055W	chr14	480300	13.4	443900	524500	0.1510810876
YGL078C	chr01	39000	10.66	0	69000	-0.1499046425
YGL078C	chr02	147900	5.5	0	204300	0.1074202976
YGL078C	chr05	173500	9.28	129300	205700	-0.1215889038
YGL078C	chr12	921700	7.33	886000	942900	-0.1270200747
YGL078C	chr14	469700	4.77	433100	539700	-0.1042698796
YGL078C	chr15	154000	17.13	145000	168100	0.2272809559
YGL147C	chr01	45600	10.46	0	58800	-0.1529242109
YGL147C	chr02	133200	13.05	105700	153300	0.1644933315
YGL147C	chr04	764900	7.43	713200	802600	-0.1181252684
YGL147C	chr05	201500	9.05	169100	235500	-0.139335693
YGL147C	chr15	168800	22.64	132000	181100	0.2095270837
YGL195W	chr01	33000	6.31	0	63700	-0.1142375245
YGL195W	chr05	202500	5.05	99400	239700	-0.1053110556
YGL195W	chr11	244400	7.44	214000	269900	-0.1318830297
YGL195W	chr14	457700	94.83	451000	466800	0.4779539557
YGL195W	chr15	146400	6.13	94900	198000	0.1114350508
YGL195W	chr15	899500	6.01	858300	930800	0.1186446614
YGL202W	chr04	1463800	10.25	1419300	1481600	-0.1610585962
YGL202W	chr08	422200	21.48	391100	448500	-0.1973176751
YGL202W	chr13	66400	14.63	46100	141300	0.1643255908
YGL202W	chr14	258500	4.56	199200	315800	-0.0908568336
YGL253W	chr01	43200	17.48	0	57100	-0.1989501788
YGL253W	chr05	200600	21.3	185800	222900	-0.2184843063
YGL253W	chr05	398200	8.29	363700	432600	0.1561921285
YGL253W	chr12	648600	10.74	625300	674100	0.1571409808
YGL253W	chr12	904400	6.37	877100	1001200	-0.1123306135
YGL253W	chr13	117900	6.13	84100	154300	0.1116314177
YGL253W	chr14	245300	6.44	200800	300100	-0.120798613
YGL253W	chr14	462700	8.58	442400	495900	0.1354815463
YGL253W	chr15	165100	36.03	152800	179500	0.2807774911
YGL253W	chr15	487800	4.72	367200	617300	0.0984137633
YGL253W	chr16	532100	7.59	505600	561900	0.133487042
YGR027C	chr01	40800	6.1	0	63600	-0.1321924
YGR027C	chr02	105900	18.38	86300	133300	0.2364678564
YGR027C	chr12	664400	8.27	632900	781100	-0.1432853907
YGR027C	chr14	444100	13.09	426300	481200	-0.1888341709
YGR036C	chr12	268800	7.77	250900	325700	-0.1298305471
YGR036C	chr12	1052800	12.69	1037400	1059600	0.1744434668
YGR036C	chr14	467000	10.38	445700	486100	-0.1385033891
YGR036C	chr15	175600	8.34	135700	195900	0.148413897
YGR086C	chr01	38800	12.35	0	53400	0.1628032035
YGR086C	chr02	382700	6.55	355400	414800	-0.1211234096
YGR086C	chr04	630800	23.38	605100	650000	-0.2155684932
YGR086C	chr05	190900	6.93	127200	229000	0.1201372627
YGR086C	chr10	144400	6.75	81800	185100	-0.1170829869
YGR086C	chr10	661300	7.36	642000	695800	0.1206664951
YGR086C	chr11	213300	8.11	113000	259800	0.1243731206
YGR086C	chr12	156900	5.71	118100	203100	-0.1153131149
YGR086C	chr12	920900	5.37	883700	993300	0.1049035546
YGR086C	chr13	105000	11.22	80500	131300	0.136341448
YGR086C	chr14	455800	6.89	429500	483600	0.1169596009
YGR086C	chr15	169500	73.05	162700	176100	-0.4032839996
YGR157W	chr01	31400	5.88	0	59600	-0.087714535
YGR157W	chr08	88800	10.1	62700	115400	0.1586835748
YGR157W	chr14	232700	8.73	191500	257300	-0.1138015146
YGR157W	chr15	159400	7.53	129900	189700	0.1119069691
YGR192C	chr01	28200	5.53	0	77600	-0.0914330794
YGR192C	chr02	180600	4.91	91200	260400	0.0870778534
YGR192C	chr10	139900	8.31	123000	176200	-0.1326336849
YGR192C	chr10	647400	5.04	596500	681700	-0.0995512627
YGR192C	chr11	267200	22.12	254600	277900	-0.2499885203
YGR192C	chr12	648700	52.1	637600	658600	0.3571872128
YGR192C	chr14	456200	10.64	435200	473900	0.1404794652
YGR192C	chr15	163300	35.1	153600	175200	0.2762716915
YGR204W	chr02	136100	9.56	96000	190600	0.1342414694
YGR204W	chr05	193000	7.46	147900	218300	-0.1206343524
YGR204W	chr07	159300	6.36	97900	235400	-0.104416881
YGR204W	chr08	103900	12.55	84800	125500	-0.1667480626
YGR204W	chr12	652800	6.81	628600	715600	-0.1291990267
YGR204W	chr13	70800	5.64	40700	117700	0.1003967501
YGR204W	chr14	457700	44.1	444500	471700	0.3187355513
YGR204W	chr15	147300	5.33	106200	204200	0.1020291462
YGR204W	chr16	206500	5.35	169800	272200	0.1052183244
YGR209C	chr01	38500	4.93	0	78600	0.0914458167
YGR209C	chr02	120300	5.47	83100	168900	0.1100676086
YGR209C	chr02	374500	10.51	359500	406100	-0.1592049494
YGR209C	chr04	215100	7.49	193700	250100	-0.1155784014
YGR209C	chr04	370900	8.67	329600	439100	-0.0979177201
YGR209C	chr04	755100	5.53	630800	809600	-0.0978228846
YGR209C	chr08	527600	7.94	496900	527600	0.1251905828
YGR209C	chr10	160800	6.55	133100	193200	-0.1290197544
YGR209C	chr12	192600	4.81	151100	240100	-0.0978644413
YGR209C	chr12	647000	89.95	639300	657600	0.442642752
YGR209C	chr13	135000	11	93300	171600	0.1194885288
YGR209C	chr14	424300	9.51	323400	487500	0.1035944666
YGR209C	chr15	589700	8.65	561400	634300	0.114862863
YGR209C	chr16	206200	7.26	172000	233900	-0.1423667107
YGR218W	chr06	42100	6.92	0	65200	0.1313285585
YGR218W	chr06	156600	7.54	123100	192500	0.1301104577
YGR218W	chr07	721900	8.8	675100	783100	0.1104594196
YGR218W	chr10	126700	10.34	93100	198700	0.1249613629
YGR218W	chr12	1037800	7.75	1007000	1059600	0.1397483795
YGR218W	chr13	282800	6.02	251700	377200	-0.1092087061
YGR218W	chr14	450600	13.9	420400	494300	0.1962833668
YGR218W	chr16	325100	8.35	280600	357000	0.1235341419
YGR229C	chr02	125600	6.29	103500	180800	0.1226691314
YGR229C	chr12	651700	8.88	631300	683200	-0.1423360332
YGR229C	chr14	473300	15.46	448600	493900	-0.1860745239
YGR234W	chr08	107800	14.11	83000	127900	0.1692661146
YGR234W	chr11	251100	15.67	220100	267700	-0.1791955269
YGR234W	chr12	661800	222.11	655300	670500	-0.9073932339
YGR234W	chr13	265300	15.33	236700	315400	0.1696916015
YGR234W	chr14	252100	7.36	220900	293200	-0.1140693545
YGR234W	chr14	463300	38.57	449000	474800	-0.2870767235
YGR234W	chr15	163600	8.75	134200	188300	0.1411399624
YGR244C	chr02	386000	5.67	362200	426200	-0.1246322644
YGR244C	chr12	663300	20.06	640200	685800	-0.2159536742
YGR244C	chr14	458300	9.16	431600	482400	-0.1612874987
YGR244C	chr15	158800	6.04	126900	187300	-0.10732817
YGR247W	chr08	106600	6.35	76000	132200	0.1155402505
YGR247W	chr12	1057100	6.52	1005800	1059600	0.1298807719
YGR247W	chr13	65000	18.64	48700	83300	0.1916600059
YGR247W	chr15	174300	4.6	106100	208400	0.079709884
YHL011C	chr02	124600	5.12	78100	201000	0.0905769592
YHL011C	chr13	131100	8.75	104200	175900	0.1298091504
YHL011C	chr14	253000	7.47	213700	297800	-0.1193765527
YHL011C	chr14	481100	7.64	433700	510900	-0.1253527864
YHL011C	chr15	169500	6.54	113900	202100	0.1169433124
YHR027C	chr14	466900	22.59	441200	484700	0.2296980774
YIR012W	chr01	33600	6.42	0	60700	-0.1082717403
YIR012W	chr12	663300	8.54	634200	686100	-0.1452752886
YIR012W	chr15	166000	15.38	154000	178900	0.1840135361
YIR022W	chr12	658700	5.47	620500	693700	0.1165039149
YIR022W	chr15	163100	12.4	141100	182100	0.1638366305
YJL052W	chr01	35300	17.76	0	55900	0.1994186752
YJL052W	chr02	401400	6.58	367700	452500	-0.1183445751
YJL052W	chr04	220900	7.31	173000	266100	-0.1101728735
