GOI	CRISPR	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
MTD1a	a	mCH	high	all	0.0720474408123302	9.81610400392004e-11	0.0122676113715734	0.273601787488049	9.81610400392004e-11	good	none
MTD1a	a	mCH	low	all	-0.104825680907349	5.84965133380046e-21	-0.015058614122581	0.179261039878287	5.84965133380046e-21	good	none
MTD1a	a	GFP	high	all	0.000371787892564868	0.973229616547973	0.0575837258990104	3.74193601859883e-07	3.74193601859883e-07	good	none
MTD1a	a	GFP	low	all	0.0224074241311421	0.0436327134515208	-0.0769080273043121	4.140000638157e-12	4.140000638157e-12	good	none
MTD1a	a	mCH	high	fix	0.0489784285955661	1.06805226306914e-05	-0.00864391874763903	0.442762021787478	1.06805226306914e-05	good	none
MTD1a	a	mCH	low	fix	-0.103815683936638	6.82720896319329e-21	-0.00578266569576957	0.609241988474462	6.82720896319329e-21	good	none
MTD1a	a	GFP	high	fix	0.0278631260714093	0.0135357050754827	0.109784782415254	3.69454617866765e-21	3.69454617866765e-21	good	none
MTD1a	a	GFP	low	fix	0.0817794152427318	3.18726199344236e-13	-0.045973449666695	4.70392242431606e-05	4.70392242431606e-05	good	inverted
MTD1i	i	mCH	high	all	0.0177103462356509	0.082885944057873	-0.0485963737431661	0.000318310341254711	0.082885944057873	nul	inverted
MTD1i	i	mCH	low	all	-0.0969118790869459	1.92906195745339e-22	-0.0702301829787668	2.12104050044548e-08	1.92906195745339e-22	good	similar
MTD1i	i	GFP	high	all	-0.0317217719196154	0.00156127138537777	-0.033068677925101	0.0113812489358249	0.0113812489358249	nul	inverted
MTD1i	i	GFP	low	all	0.0247787923428877	0.00892987612101629	-0.0470901966959598	9.56917480622168e-05	9.56917480622168e-05	good	inverted
MTD1i	i	mCH	high	fix	0.085923786656755	5.63615939971253e-17	-0.0137964522844349	0.294027617312313	5.63615939971253e-17	good	none
MTD1i	i	mCH	low	fix	-0.0711710932915253	4.50584415305733e-13	0.0471730959985122	0.000150028792465638	4.50584415305733e-13	good	inverted
MTD1i	i	GFP	high	fix	0.0649336862975343	3.3142587040596e-12	0.0884036810876365	5.53450728131379e-14	5.53450728131379e-14	good	similar
MTD1i	i	GFP	low	fix	0.112467642296695	5.73934112648615e-36	-0.0690162037772684	2.46634072381264e-09	2.46634072381264e-09	good	inverted
NAi	i	mCH	high	all	0.157328112220577	9.59755453172585e-60	-0.0223821361875949	0.15951881432117	9.59755453172585e-60	good	none
NAi	i	mCH	low	all	-0.0772185631014999	5.232319024452e-13	-0.0436212959980695	0.00515465238018577	5.232319024452e-13	good	similar
NAi	i	GFP	high	all	0.151929488035194	1.23719180640186e-52	0.112827420931643	9.33433835180441e-13	9.33433835180441e-13	good	similar
NAi	i	GFP	low	all	0.0221162623222018	0.0272873143723454	-0.130679569818918	5.28767806364596e-16	5.28767806364596e-16	good	none
NAi	i	mCH	high	fix	0.0251490244961214	0.00378756538823659	-0.0905920236822819	6.33358286056251e-08	0.00378756538823659	average	inverted
NAi	i	mCH	low	fix	-0.224272155414237	9.80473734693231e-99	0.05843244411441	0.000260673727786013	9.80473734693231e-99	good	inverted
NAi	i	GFP	high	fix	0.080099041918098	4.3455587199153e-18	0.139053816932313	2.77656990746664e-17	2.77656990746664e-17	good	similar
NAi	i	GFP	low	fix	0.0270098678668056	0.0041467449952931	-0.0525861935811465	0.00170572626456775	0.00170572626456775	average	inverted
TDH3a	a	mCH	high	all	0.160171632034139	3.75241128118212e-47	0.0239433159021232	0.0571033098324684	3.75241128118212e-47	good	none
TDH3a	a	mCH	low	all	-0.0999973284662694	1.30198981468114e-15	-0.0110859864629411	0.387946570737646	1.30198981468114e-15	good	none
TDH3a	a	GFP	high	all	0.0894328596992704	1.2439926415199e-15	0.122324657351262	5.09885082377995e-22	5.09885082377995e-22	good	similar
TDH3a	a	GFP	low	all	-0.0402306433903661	0.000396667008019002	-0.0751841652377969	2.63154190142142e-09	2.63154190142142e-09	good	similar
TDH3a	a	mCH	high	fix	0.0909764834024021	2.11247306845913e-17	0.0292300248642174	0.0619401947999698	2.11247306845913e-17	good	none
TDH3a	a	mCH	low	fix	-0.0920086629340613	7.72964049934071e-17	0.133489211038361	5.57915995368083e-17	7.72964049934071e-17	good	inverted
TDH3a	a	GFP	high	fix	-0.0543079508728699	1.63965994453496e-07	0.13830350289882	7.02257635900917e-26	7.02257635900917e-26	good	inverted
TDH3a	a	GFP	low	fix	-0.0554426316067556	8.53952537912186e-08	-0.145931653003659	5.76322539976883e-31	5.76322539976883e-31	good	similar
TDH3i	i	mCH	high	all	0.0264273624755891	0.00521765142376604	-0.0234327855756877	0.130807428634725	0.00521765142376604	average	none
TDH3i	i	mCH	low	all	-0.033497424480986	0.000618817527448967	0.0207251346729453	0.183352598844717	0.000618817527448967	good	none
TDH3i	i	GFP	high	all	0.062718308520509	4.57307146109884e-11	0.158294990283318	1.05438275567511e-27	1.05438275567511e-27	good	similar
TDH3i	i	GFP	low	all	0.0302422108345297	0.00119273695630823	-0.171573499378187	2.90458000012497e-33	2.90458000012497e-33	good	inverted
TDH3i	i	mCH	high	fix	-0.00708905104031388	0.451220736786553	-0.0469242856087604	0.00116760323756359	0.451220736786553	nul	inverted
TDH3i	i	mCH	low	fix	-0.0111240332503115	0.227073402666878	0.151189801843806	4.3629003785964e-23	0.227073402666878	nul	inverted
TDH3i	i	GFP	high	fix	-0.0117432892608544	0.220533884815167	0.233545081929538	1.5516020177392e-46	1.5516020177392e-46	good	none
TDH3i	i	GFP	low	fix	-0.0367917845238566	0.000112930944917136	-0.105144866440101	3.97992752390673e-12	3.97992752390673e-12	good	similar
UGP1a	a	mCH	high	all	0.0702343598264576	4.69415269140704e-10	-0.0383484916488124	0.00447079459590276	4.69415269140704e-10	good	inverted
UGP1a	a	mCH	low	all	-0.103365471021871	6.09501921694571e-20	0.00104001374637175	0.939650976607663	6.09501921694571e-20	good	none
UGP1a	a	GFP	high	all	6.39466223013585e-05	0.995508000634739	0.30724992488391	2.73555942095483e-99	2.73555942095483e-99	good	none
UGP1a	a	GFP	low	all	-0.0381500427540846	0.000882728524347983	-0.200618864712609	7.08313717176514e-51	7.08313717176514e-51	good	similar
UGP1a	a	mCH	high	fix	0.126626493586041	3.06216375056729e-27	-0.128485346531898	3.74118625538286e-22	3.06216375056729e-27	good	inverted
UGP1a	a	mCH	low	fix	-0.0633804664137845	5.70606732144193e-08	0.0848630309269547	1.49092499477709e-09	5.70606732144193e-08	good	inverted
UGP1a	a	GFP	high	fix	-0.0665649305950948	4.28289683484319e-09	0.37143595951108	1.22930529021082e-143	1.22930529021082e-143	good	inverted
UGP1a	a	GFP	low	fix	0.0324539719724619	0.00449254998809757	-0.115013389106183	6.14211138281551e-19	6.14211138281551e-19	good	inverted
UGP1i	i	mCH	high	all	0.0224829365960577	0.0274169005500373	-0.00688637870843944	0.635695192160151	0.0274169005500373	nul	none
UGP1i	i	mCH	low	all	-0.0409152166273437	5.18867220159539e-05	0.158605163733295	1.72704331240063e-26	5.18867220159539e-05	good	inverted
UGP1i	i	GFP	high	all	-0.0685822886175185	1.27406914126369e-07	0.581838254503159	3.72083586214351e-302	3.72083586214351e-302	good	inverted
UGP1i	i	GFP	low	all	-0.0149961878516578	0.136593598689682	-0.183899630172097	3.15049861967772e-39	3.15049861967772e-39	good	none
UGP1i	i	mCH	high	fix	0.0184467768214276	0.0756009664264345	-0.126354683082929	1.93807139905429e-19	0.0756009664264345	nul	inverted
UGP1i	i	mCH	low	fix	-0.0668224586908526	5.97716554417452e-10	0.129294239499771	1.10957734397067e-18	5.97716554417452e-10	good	inverted
UGP1i	i	GFP	high	fix	0.00139010896714886	0.889863058083369	0.346580718576374	4.27102341072595e-121	4.27102341072595e-121	good	none
UGP1i	i	GFP	low	fix	0.024521594188732	0.0136281729348897	-0.197852000922701	4.91204721091507e-48	4.91204721091507e-48	good	none
